Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Contribution from Members,Lease Rent,,,debit,1000,
Contribution from Members,Parking Charges,,,debit,1000,
Contribution from Members,Water Charges,,,debit,1000,
Contribution from Members,Municipal Taxes,,,debit,1000,
Contribution from Members,Electricity Charges,,,debit,1000,
Contribution from Members,Insurance Charges,,,debit,1000,
Contribution from Members,Repair and Renovation Fund,,,debit,1000,
Contribution from Members,LAT Charges,,,debit,1000,
Contribution from Members,Muncipal Tax,,,debit,1000,
Administrative Expenses,Reversals & Adjustments,,,debit,1000,
Fixed Assets,Building,,,debit,1000,
Fixed Assets,Computers,,,debit,1000,
Fixed Assets,Surveillance & Security Systems,,,debit,1000,
Repairs & Maintenance,Club / Recreation Center expenses,,,debit,1000,
Repairs & Maintenance,Garden / Lawn expenses,,,debit,1000,
Repairs & Maintenance,General Repairs & Maintenance,,,debit,1000,
Repairs & Maintenance,Fire & Safety expenses,,,debit,1000,
Administrative Expenses,Subscription charges,,,debit,1000,
Investments,Deposits with Electricity Cos,,,debit,1000,
Investments,Deposits with Water Supply Cos,,,debit,1000,
Other Income,Interest from saving bank accounts,,,debit,1000,
Reserve & Surplus,Sinking Fund (Reserves),,,debit,1000,
Investments,Shares of Federation,,,debit,1000,
Current Assets,Sundry Debtors Control A/c,,,debit,1000,
Administrative Expenses,Audit fees,,,debit,1000,
Capital Account,sggggggggggggg,,,debit,1000,
Members Control Accounts,abhilash lohar,B,203,credit,5000,5000
Members Control Accounts,Ashish,A,106,credit,5000,5000
Members Control Accounts,Rohit Joshi,A,104,credit,5000,5000
Members Control Accounts,Nikhil Vyas,A,105,credit,5000,5000
Bank Accounts,SBBJ,,,credit,5000,5000
Bank Accounts,ICICI,,,credit,5000,5000
Members Control Accounts,Ankit,A,103,credit,5000,5000
Sundry Debtors Control A/c,Vicky,,,credit,5000,5000
Sundry Creditors Control A/c,Happy,,,credit,5000,5000
Sundry Debtors Control A/c,HHHHHHHHH,,,credit,5000,3000
