Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Contribution from Members,Lease Rent,,,debit,500,
Contribution from Members,Parking Charges,,,debit,500,
Contribution from Members,Water Charges,,,debit,500,
Contribution from Members,Municipal Taxes,,,debit,500,
Contribution from Members,Electricity Charges,,,debit,500,
Contribution from Members,Insurance Charges,,,debit,500,
Administrative Expenses,Reversals & Adjustments,,,debit,500,
Repairs & Maintenance,QQ12 444ff,,,debit,500,
Repairs & Maintenance,QQ123,,,debit,500,
Sundry Debtors Control A/c  ,Nikhil,A,101,debit,500,
Sundry Debtors Control A/c  ,Rohit,B,202,debit,500,
Sundry Debtors Control A/c  ,Rohit,B,201,debit,500,
Sundry Debtors Control A/c  ,Rohit,B,203,debit,500,
Sundry Debtors Control A/c  ,Nikhil,A,102,debit,500,
Bank Accounts,SBI,,,debit,500,
Sundry Debtors Control A/c  ,Sudhir,B,205,debit,500,
Sundry Debtors Control A/c  ,Sudhir,B,204,debit,500,
Sundry Debtors Control A/c  ,Nikhil 2,A,105,debit,500,
Sundry Debtors Control A/c  ,Suresh Chodhry,C,1003,debit,500,
Bank Accounts,ICICI Bank,,,debit,500,
Sundry Debtors Control A/c  ,Abhilash Lohar,C,1004,debit,500,
Sundry Debtors Control A/c  ,Ankit Sisodiya,B,203,debit,500,
Sundry Debtors Control A/c  ,Gopesh parihar,C,301,,,
Sundry Creditors Control A/c,Raju,,,,,
Sundry Creditors Control A/c,Vicky,,,,,
Sundry Creditors Control A/c,Hemant,,,,,
Sundry Creditors Control A/c,HousingMatters,,,,,
Sundry Creditors Control A/c,Infinity Tracking Solution,,,,,
Sundry Debtors Control A/c  ,Rahul Sahay,C,302,,,
Sundry Creditors Control A/c,Otis India Ltd,,,,,
Sundry Creditors Control A/c,Matrix solutions,,,,,
Sundry Debtors Control A/c  ,Skumar,D,901,,,
Tax deducted at source (TDS receivable),QQeee,,,,,
Sundry Debtors Control A/c  ,1,E,801,,,
Sundry Debtors Control A/c  ,2,E,802,,,
Sundry Debtors Control A/c  ,3,E,803,,,
Sundry Debtors Control A/c  ,4,E,804,,,
Sundry Debtors Control A/c  ,5,E,805,,,
Sundry Debtors Control A/c  ,6,E,806,,,
Sundry Debtors Control A/c  ,7,E,807,,,
Sundry Debtors Control A/c  ,8,E,808,,,
Sundry Creditors Control A/c,Maker Clothing,,,,,
Sundry Debtors Control A/c  ,9,E,809,,,
Sundry Debtors Control A/c  ,10,E,810,,,
Sundry Debtors Control A/c  ,11,E,811,,,
Sundry Debtors Control A/c  ,12,E,812,,,
Sundry Debtors Control A/c  ,13,E,813,,,
Sundry Debtors Control A/c  ,14,E,814,,,
Sundry Debtors Control A/c  ,15,E,815,,,
Sundry Debtors Control A/c  ,16,E,816,,,
Sundry Debtors Control A/c  ,17,E,817,,,
Sundry Debtors Control A/c  ,18,E,818,,,
Sundry Debtors Control A/c  ,19,E,819,,,
Sundry Debtors Control A/c  ,20,E,820,,,
Sundry Debtors Control A/c  ,21,E,821,,,
Sundry Debtors Control A/c  ,22,E,822,,,
Sundry Debtors Control A/c  ,23,E,823,,,
Sundry Debtors Control A/c  ,24,E,824,,,
Sundry Debtors Control A/c  ,25,E,825,,,
Sundry Debtors Control A/c  ,26,E,826,,,
Sundry Debtors Control A/c  ,27,E,827,,,
Sundry Debtors Control A/c  ,28,E,828,,,
Sundry Debtors Control A/c  ,29,E,829,,,
Sundry Debtors Control A/c  ,30,E,830,,,
Sundry Debtors Control A/c  ,31,E,831,,,
Sundry Debtors Control A/c  ,32,E,832,,,
Sundry Debtors Control A/c  ,33,E,833,,,
Sundry Debtors Control A/c  ,34,E,834,,,
Sundry Debtors Control A/c  ,35,E,835,,,
Sundry Debtors Control A/c  ,36,E,836,,,
Sundry Debtors Control A/c  ,37,E,837,,,
Sundry Debtors Control A/c  ,38,E,838,,,
Sundry Debtors Control A/c  ,39,E,839,,,
Sundry Debtors Control A/c  ,40,E,840,,,
Sundry Debtors Control A/c  ,41,E,841,,,
Sundry Debtors Control A/c  ,42,E,842,,,
Sundry Debtors Control A/c  ,43,E,843,,,
Sundry Debtors Control A/c  ,44,E,844,,,
Sundry Debtors Control A/c  ,45,E,845,,,
Sundry Debtors Control A/c  ,46,E,846,,,
Sundry Debtors Control A/c  ,47,E,847,,,
Sundry Debtors Control A/c  ,48,E,848,,,
Sundry Debtors Control A/c  ,49,E,849,,,
Sundry Debtors Control A/c  ,50,E,850,,,
Sundry Debtors Control A/c  ,51,E,851,,,
Sundry Debtors Control A/c  ,52,E,852,,,
Sundry Debtors Control A/c  ,53,E,853,,,
Sundry Debtors Control A/c  ,54,E,854,,,
Sundry Debtors Control A/c  ,55,E,855,,,
Sundry Debtors Control A/c  ,56,E,856,,,
Sundry Debtors Control A/c  ,57,E,857,,,
Sundry Debtors Control A/c  ,58,E,858,,,
Sundry Debtors Control A/c  ,59,E,859,,,
Sundry Debtors Control A/c  ,60,E,860,,,
Sundry Debtors Control A/c  ,61,E,861,,,
Sundry Debtors Control A/c  ,62,E,862,,,
Sundry Debtors Control A/c  ,63,E,863,,,
Sundry Debtors Control A/c  ,64,E,864,,,
Sundry Debtors Control A/c  ,65,E,865,,,
Sundry Debtors Control A/c  ,66,E,866,,,
Sundry Debtors Control A/c  ,67,E,867,,,
Sundry Debtors Control A/c  ,68,E,868,,,
Sundry Debtors Control A/c  ,69,E,869,,,
Sundry Debtors Control A/c  ,70,E,870,,,
Sundry Debtors Control A/c  ,71,E,871,,,
Sundry Debtors Control A/c  ,72,E,872,,,
Sundry Debtors Control A/c  ,73,E,873,,,
Sundry Debtors Control A/c  ,74,E,874,,,
Sundry Debtors Control A/c  ,75,E,875,,,
Sundry Debtors Control A/c  ,76,E,876,,,
Sundry Debtors Control A/c  ,77,E,877,,,
Sundry Debtors Control A/c  ,78,E,878,,,
Sundry Debtors Control A/c  ,79,E,879,,,
Sundry Debtors Control A/c  ,80,E,880,,,
Sundry Debtors Control A/c  ,81,E,881,,,
Sundry Debtors Control A/c  ,82,E,882,,,
Sundry Debtors Control A/c  ,83,E,883,,,
Sundry Debtors Control A/c  ,84,E,884,,,
Sundry Debtors Control A/c  ,85,E,885,,,
Sundry Debtors Control A/c  ,86,E,886,,,
Sundry Debtors Control A/c  ,87,E,887,,,
Sundry Debtors Control A/c  ,88,E,888,,,
Sundry Debtors Control A/c  ,89,E,889,,,
Sundry Debtors Control A/c  ,90,E,890,,,
Sundry Debtors Control A/c  ,91,E,891,,,
Sundry Debtors Control A/c  ,92,E,892,,,
Sundry Debtors Control A/c  ,93,E,893,,,
Sundry Debtors Control A/c  ,94,E,894,,,
Sundry Debtors Control A/c  ,95,E,895,,,
Sundry Debtors Control A/c  ,96,E,896,,,
Sundry Debtors Control A/c  ,97,E,897,,,
Sundry Debtors Control A/c  ,98,E,898,,,
Sundry Debtors Control A/c  ,99,E,899,,,
Sundry Debtors Control A/c  ,100,E,900,,,
Sundry Debtors Control A/c  ,101,E,901,,,
Sundry Debtors Control A/c  ,102,E,902,,,
Sundry Debtors Control A/c  ,103,E,903,,,
Sundry Debtors Control A/c  ,104,E,904,,,
Sundry Debtors Control A/c  ,105,E,905,,,
Sundry Debtors Control A/c  ,106,E,906,,,
Sundry Debtors Control A/c  ,107,E,907,,,
Sundry Debtors Control A/c  ,108,E,908,,,
Sundry Debtors Control A/c  ,109,E,909,,,
Sundry Debtors Control A/c  ,110,E,910,,,
Sundry Debtors Control A/c  ,111,E,911,,,
Sundry Debtors Control A/c  ,112,E,912,,,
Sundry Debtors Control A/c  ,113,E,913,,,
Sundry Debtors Control A/c  ,114,E,914,,,
Sundry Debtors Control A/c  ,115,E,915,,,
Sundry Debtors Control A/c  ,116,E,916,,,
Sundry Debtors Control A/c  ,117,E,917,,,
Sundry Debtors Control A/c  ,118,E,918,,,
Sundry Debtors Control A/c  ,119,E,919,,,
Sundry Debtors Control A/c  ,120,E,920,,,
Sundry Debtors Control A/c  ,121,E,921,,,
Sundry Debtors Control A/c  ,122,E,922,,,
Sundry Debtors Control A/c  ,123,E,923,,,
Sundry Debtors Control A/c  ,124,E,924,,,
Sundry Debtors Control A/c  ,125,E,925,,,
Sundry Debtors Control A/c  ,126,E,926,,,
Sundry Debtors Control A/c  ,127,E,927,,,
Sundry Debtors Control A/c  ,128,E,928,,,
Sundry Debtors Control A/c  ,129,E,929,,,
Sundry Debtors Control A/c  ,130,E,930,,,
Sundry Debtors Control A/c  ,131,E,931,,,
Sundry Debtors Control A/c  ,132,E,932,,,
Sundry Debtors Control A/c  ,133,E,933,,,
Sundry Debtors Control A/c  ,134,E,934,,,
Sundry Debtors Control A/c  ,135,E,935,,,
Sundry Debtors Control A/c  ,136,E,936,,,
Sundry Debtors Control A/c  ,137,E,937,,,
Sundry Debtors Control A/c  ,138,E,938,,,
Sundry Debtors Control A/c  ,139,E,939,,,
Sundry Debtors Control A/c  ,140,E,940,,,
Sundry Debtors Control A/c  ,141,E,941,,,
Sundry Debtors Control A/c  ,142,E,942,,,
Sundry Debtors Control A/c  ,143,E,943,,,
Sundry Debtors Control A/c  ,144,E,944,,,
Sundry Debtors Control A/c  ,145,E,945,,,
Sundry Debtors Control A/c  ,146,E,946,,,
Sundry Debtors Control A/c  ,147,E,947,,,
Sundry Debtors Control A/c  ,148,E,948,,,
Sundry Debtors Control A/c  ,149,E,949,,,
Sundry Debtors Control A/c  ,150,E,950,,,
Sundry Debtors Control A/c  ,151,E,951,,,
Sundry Debtors Control A/c  ,152,E,952,,,
Sundry Debtors Control A/c  ,153,E,953,,,
Sundry Debtors Control A/c  ,154,E,954,,,
Sundry Debtors Control A/c  ,155,E,955,,,
Sundry Debtors Control A/c  ,156,E,956,,,
Sundry Debtors Control A/c  ,157,E,957,,,
Sundry Debtors Control A/c  ,158,E,958,,,
Sundry Debtors Control A/c  ,159,E,959,,,
Sundry Debtors Control A/c  ,160,E,960,,,
Sundry Debtors Control A/c  ,161,E,961,,,
Sundry Debtors Control A/c  ,162,E,962,,,
Sundry Debtors Control A/c  ,163,E,963,,,
Sundry Debtors Control A/c  ,164,E,964,,,
Sundry Debtors Control A/c  ,165,E,965,,,
Sundry Debtors Control A/c  ,166,E,966,,,
Sundry Debtors Control A/c  ,167,E,967,,,
Sundry Debtors Control A/c  ,168,E,968,,,
Sundry Debtors Control A/c  ,169,E,969,,,
Sundry Debtors Control A/c  ,170,E,970,,,
Sundry Debtors Control A/c  ,171,E,971,,,
Sundry Debtors Control A/c  ,172,E,972,,,
Sundry Debtors Control A/c  ,173,E,973,,,
Sundry Debtors Control A/c  ,174,E,974,,,
Sundry Debtors Control A/c  ,175,E,975,,,
Sundry Debtors Control A/c  ,176,E,976,,,
Sundry Debtors Control A/c  ,177,E,977,,,
Sundry Debtors Control A/c  ,178,E,978,,,
Sundry Debtors Control A/c  ,179,E,979,,,
Sundry Debtors Control A/c  ,180,E,980,,,
Sundry Debtors Control A/c  ,181,E,981,,,
Sundry Debtors Control A/c  ,182,E,982,,,
Sundry Debtors Control A/c  ,183,E,983,,,
Sundry Debtors Control A/c  ,184,E,984,,,
Sundry Debtors Control A/c  ,185,E,985,,,
Sundry Debtors Control A/c  ,186,E,986,,,
Sundry Debtors Control A/c  ,187,E,987,,,
Sundry Debtors Control A/c  ,188,E,988,,,
Sundry Debtors Control A/c  ,189,E,989,,,
Sundry Debtors Control A/c  ,190,E,990,,,
Sundry Debtors Control A/c  ,191,E,991,,,
Sundry Debtors Control A/c  ,192,E,992,,,
Sundry Debtors Control A/c  ,193,E,993,,,
Sundry Debtors Control A/c  ,194,E,994,,,
Sundry Debtors Control A/c  ,195,E,995,,,
Sundry Debtors Control A/c  ,196,E,996,,,
Sundry Debtors Control A/c  ,197,E,997,,,
Sundry Debtors Control A/c  ,198,E,998,,,
Sundry Debtors Control A/c  ,199,E,999,,,
Sundry Debtors Control A/c  ,200,E,1000,,,
